host_gal,ID_comp,main_id,ra,dec,otype,radvel,radvel_bibcode,z,J,sep_arcsec,sep_kpc,level,mangaID,PlateIFU,log_mass,e_log_mass,Primary_Ra,Primary_Dec,redshift,vel_disp_ssp_cen,vel_disp_ssp_1Re,Multiple_Ra,Multiple_Dec,Distances,nsa_inclination,u-g,g-r,r-i,i-z,u_band_mag,u_band_mag_error,u_band_abs_mag,u_band_abs_mag_error,g_band_mag,g_band_mag_error,g_band_abs_mag,g_band_abs_mag_error,r_band_mag,r_band_mag_error,r_band_abs_mag,r_band_abs_mag_error,i_band_mag,i_band_mag_error,i_band_abs_mag,i_band_abs_mag_error,B_band_mag,B_band_mag_error,B_band_abs_mag,B_band_abs_mag_error,V_band_mag,V_band_mag_error,V_band_abs_mag,V_band_abs_mag_error,R_band_mag,R_band_mag_error,R_band_abs_mag,R_band_abs_mag_error,vel_ssp_1,e_vel_ssp_1,vel_ssp_2,e_vel_ssp_2,log_Mass_gas
2MASSJ07594330+1828036,C1,2MASSJ07594543+1826400,119.93929706005001,18.44443783257,AGN,11461.199265549452,2015ApJS..219...12A,0.03899,14.963000297546387,89.2238369135557,68.7764489657218,3,1-382816,9491-12702,10.3275311824452,0.0882626722367123,119.93039249419999,18.46773851582,0.0389364,24.3076270421346,17.225103597011,"[119.89866171284, 119.909693488733, 119.901960425926, 119.941388026434, 119.93035256827, 119.939291947158]","[18.5071517055948, 18.4516628604221, 18.4325775024013, 18.4623473033547, 18.4677110868772, 18.4444402766007]","[0.056574835553922086, 0.07464712512862882, 0.06191100333079497, 0.05059518477792571, 0.07472308389793376, 0.020592502304454478, 0.03344698851705646, 0.026159952975303623, 0.030466940414054455, 0.04940421774122946, 0.04517170026694085, 0.039171008273984315, 0.012269943380703268, 0.01802928605074867, 0.024928760615561176]",78.9682628704844,1.2181,681.0,0.3365,0.2853,19.0935949204266,0.201618769330655,-16.997660954403,0.201618771462116,17.7742309892516,0.0713345590762257,-18.3170248855779,0.0713345651005488,17.0746228926573,0.061291205994461,-19.0166329821723,0.0612912130059468,16.791590796263,0.0684096823907518,-19.2996650785666,0.0684096886726466,18.0402394528669,0.074643249415073,-18.0510164219626,0.0746432551723576,17.3849236616494,0.0696875640953745,-18.7063322131802,0.0696875702620763,17.0746228926573,0.061291205994461,-19.0166329821723,0.0612912130059468,465.391235000705,76.0092356901018,0.0,198.939963397203,9.33936754990149
2MASSJ08003540+3024061,C2,WISEAJ080040.16+302404.7,120.16734,30.40132,G,13742.0,ned,0.045839,nan,61.29054115438215,58.20432414978455,2,1-201798,8938-3701,10.413443560692,0.0809980598870372,120.14761691723004,30.401719212040007,0.0457048,81.3272647857666,71.5961377579608,"[120.169701046108, 120.17365567196, 120.147608260788, 120.167279686656, 120.10397556212]","[30.3657005833994, 30.3834131872157, 30.4017201229746, 30.4012854847789, 30.3931195932372]","[0.018148702421458385, 0.042255158198791914, 0.03566718642933019, 0.07121545721220031, 0.0318372663029301, 0.018975568734147564, 0.07035291056644088, 0.019676226925945, 0.044472255450076936, 0.06382862968872698]",28.040771094059,1.3757,0.6483,0.3093,219.0,18.194361033427,0.09201398922771,-18.2749114366551,0.0920139892651112,16.8131548857918,0.0537934545455978,-19.6561175842904,0.0537934546095728,16.2444662726171,0.0516276019613939,-20.224806197465,0.0516276020280527,15.9147072535279,0.0527164227242924,-20.5545652165542,0.0527164227895744,17.0682280945917,0.0526775533738268,-19.4010443754904,0.052677553439157,16.5030528976771,0.0544931378265758,-19.966219572405,0.0544931378897293,16.2444662726171,0.0516276019613939,-20.224806197465,0.0516276020280527,27.4365173559765,24.9339512514302,0.0,29.7266147263394,9.76186836554505
2MASSJ08003540+3024061,C1,MSPM01192,120.1672,30.4013,GClstr,13802.0,ned,0.04604,nan,60.85780519066302,57.793378124032635,2,1-201798,8938-3701,10.413443560692,0.0809980598870372,120.14761691723004,30.401719212040007,0.0457048,81.3272647857666,71.5961377579608,"[120.169701046108, 120.17365567196, 120.147608260788, 120.167279686656, 120.10397556212]","[30.3657005833994, 30.3834131872157, 30.4017201229746, 30.4012854847789, 30.3931195932372]","[0.018148702421458385, 0.042255158198791914, 0.03566718642933019, 0.07121545721220031, 0.0318372663029301, 0.018975568734147564, 0.07035291056644088, 0.019676226925945, 0.044472255450076936, 0.06382862968872698]",28.040771094059,1.3757,0.6483,0.3093,219.0,18.194361033427,0.09201398922771,-18.2749114366551,0.0920139892651112,16.8131548857918,0.0537934545455978,-19.6561175842904,0.0537934546095728,16.2444662726171,0.0516276019613939,-20.224806197465,0.0516276020280527,15.9147072535279,0.0527164227242924,-20.5545652165542,0.0527164227895744,17.0682280945917,0.0526775533738268,-19.4010443754904,0.052677553439157,16.5030528976771,0.0544931378265758,-19.966219572405,0.0544931378897293,16.2444662726171,0.0516276019613939,-20.224806197465,0.0516276020280527,27.4365173559765,24.9339512514302,0.0,29.7266147263394,9.76186836554505
2MASSJ08270683+2746185,C1,SDSSJ082708.18+274837.6,126.78405408129998,27.810485275819996,AG?,6018.15438998604,2015ApJS..219...12A,0.02028,13.517999649047852,140.5270480927004,58.85920337989863,2,1-230426,9510-1901,9.18108074614972,0.0927678658301935,126.77848457066999,27.771762184720004,0.0203841,0.0,17.8916339207365,"[126.803897865226, 126.784087278306, 126.799696801597, 126.7783002421, 126.77849383607]","[27.8134033883112, 27.8104656968476, 27.7499781434699, 27.7388077504609, 27.7717549062397]","[0.020027216113336025, 0.06356422436240411, 0.07886537577412644, 0.0487848414594066, 0.06246920306032585, 0.0718912447270795, 0.03911280999284353, 0.024136910288680785, 0.030393965583173446, 0.03294772454264047]",39.9151555586327,1.0884,0.4746,0.1594,0.1424,18.7716716488657,0.256846650983402,-15.8952718017572,0.256847004180653,17.8042649505524,0.229178212125176,-16.8626785000706,0.229178607963481,17.3286654299474,0.233289344293867,-17.3382780206756,0.233289733156539,17.155838536186,0.262056799573004,-17.5111049144369,0.262057145748083,17.9588114431211,0.22059861631403,-16.7081320075018,0.220599027547383,17.5773763765365,0.237155103382402,-17.0895670740864,0.237155485906407,17.3286654299474,0.233289344293867,-17.3382780206756,0.233289733156539,0.0,0.0,0.0,21.3373905893611,8.39288724390693
2MASSJ12502019+2644596,C1,2MASXJ12501346+2646335,192.55606397345,26.776078244620003,EmG,7003.347119954144,2012ApJS..203...21A,0.02364,12.692000389099121,130.85055664847627,63.6011054332277,2,1-455658,11871-3702,9.77755290186664,0.0779106859164268,192.584242,26.749846,0.023687022,81.2197469075521,71.6235376019784,"[192.620682889078, 192.584241562654, 192.556085614692, 192.554295725327, 192.566613099578, 192.610916926326, 192.610827425924]","[26.7459168144605, 26.7498457320174, 26.7760811444691, 26.734872380294, 26.7271158709381, 26.7353251849131, 26.7089778427201]","[0.036652512392880365, 0.07129301973524513, 0.0672995916552433, 0.05724524097169429, 0.014406826331387547, 0.03823111020122888, 0.038484467933830695, 0.0334806576256811, 0.028764723101498562, 0.030371389748285058, 0.04875441007156897, 0.041247617492139954, 0.050084188622666295, 0.06831925771579324, 0.08659976329399759, 0.01455613773731404, 0.05662301152883244, 0.0621800631115318, 0.045057983759346235, 0.04779011113050267, 0.02634749420641593]",61.6480779139887,1.049278,0.415535,0.232346,0.10095,17.4005495580295,0.106717215124705,-17.5755537651293,0.10671721512721,16.4385043989267,0.0749737977223836,-18.537598924232,0.0749737977259482,16.0163904402944,0.0980061799827461,-18.9597128828644,0.098006179985473,15.8548392871696,0.14926797839636,-19.1212640359891,0.14926797839815,16.5940507172981,0.0614098700474841,-18.3820526058607,0.061409870051836,16.2355311775321,0.108716135831063,-18.7405721456267,0.108716135833521,16.0163904402944,0.0980061799827461,-18.9597128828644,0.098006179985473,97.8148623163185,0.943588752104739,142.386836399951,105.303872036584,9.51625054106679
2MASSJ16264094+1422435,C1,2MASXJ16264452+1422507,246.68545338433995,14.380765092849998,Sy2,14153.499566845636,2015ApJS..219...12A,0.04838,13.388999938964844,52.43247791918637,50.87919231309834,1,1-446650,8609-6103,10.5805559135697,0.0770288268190251,246.67055535235,14.37879918453,0.04788,60.5750026702881,72.6019962272018,"[246.670547965337, 246.685453966068]","[14.3787900667187, 14.3807523411052]",[0.015034606032768742],40.4888582963341,1.2288,0.6061,0.2726,0.2335,17.9827508022855,0.0718475359098952,-18.5842815165829,0.0718475359270657,16.5709252323564,0.0513654041228525,-19.996107086512,0.0513654041468697,16.0262526812642,0.0508464620680428,-20.5407796376043,0.0508464620923052,15.7741728951967,0.0516978654167969,-20.7928594236717,0.0516978654406597,16.8217299856638,0.0514383818477629,-19.7453023332047,0.0514383818717461,16.2883548137157,0.0511784510967119,-20.2786775051528,0.0511784511208168,16.0262526812642,0.0508464620680428,-20.5407796376043,0.0508464620923052,29.282833767044,0.496003683021408,58.4937605535595,46.5972262645985,9.93517294283189
2MASXJ02323809+0035395,C1,UGC2019,38.16373759775001,0.6173056266300001,LSB,6156.1674172736075,2011yCat.2306....0A,0.02075,12.270999908447266,85.13699238146961,38.16843052339895,1,1-36565,10226-3702,9.80084424885991,0.0669697889516014,38.1587122087,0.59419650999,0.0218305,52.2005290985107,43.2335356255454,"[38.1571694721908, 38.1587004822597, 38.1637237569303, 38.1658464316835, 38.1839087169748, 38.1901296953639, 38.1934077567228, 38.1617522672399, 38.1726057227004, 38.1787019388363, 38.1585432771477]","[0.584811586015131, 0.594240698632108, 0.617299212589883, 0.618354779582112, 0.623905686495449, 0.606038100318295, 0.588301875149074, 0.617145194794044, 0.597956050270665, 0.569749932378907, 0.560683139468991]","[0.009552599466883064, 0.03314218654384449, 0.034647300915220725, 0.047363867071679194, 0.03920384191737978, 0.03640598005905758, 0.03265676449267163, 0.020274485699030502, 0.026277376773509574, 0.02416752516890246, 0.02359932953194329, 0.025150616160063997, 0.03892899436645934, 0.03357043525030171, 0.035211710055317307, 0.023106911000770246, 0.014393038230755656, 0.031620498048806726, 0.03355792738584047, 0.002370647545068039, 0.02123859951745453, 0.028706902204039278, 0.04149681219487904, 0.001977496670239338, 0.021284906493777643, 0.04985258249871307, 0.05685259102633882, 0.018895997393756643, 0.02722824788817111, 0.04077749014816027, 0.004269107383372662, 0.021489443282060774, 0.05027618955134323, 0.05813221258055728, 0.01891959851359695, 0.0368491945437394, 0.023164898292458533, 0.028304439576957278, 0.05440547989416983, 0.06812118605936653, 0.01803661191926054, 0.03047369315698637, 0.019297905349632816, 0.0380450358345394, 0.055270012568938376, 0.04282530913541634, 0.022933113978420825, 0.02367352234582931, 0.04447838235152839, 0.02204587859379404, 0.050334901078928365, 0.05655317240386402, 0.028857389654978995, 0.03983744789205619, 0.022103809055152388]",63.5172711007545,0.7023,0.2087,0.0312,83.0,16.151178483518,0.0532474485757612,-18.6247683122394,0.0532474485758117,15.7588898282514,0.050423529777945,-19.0170569675061,0.0504235297779983,15.5909309658421,0.0505757981749609,-19.1850158299154,0.050575798175014,15.5798632620126,0.0512835674410052,-19.1960835337449,0.0512835674410576,15.7934366669528,0.0503937046785622,-18.9825101288046,0.0503937046786155,15.7627663904345,0.0507034215727596,-19.013180405323,0.0507034215728125,15.5909309658421,0.0505757981749609,-19.1850158299154,0.050575798175014,46.3473628147908,4.06723580608073,0.0,42.8998699204364,9.36204232192133
2MASXJ02541454+0101446,C1,SDSSJ025415.34+010238.2,43.563947,1.043955,G,19392.23890565705,2015ApJS..219...12A,0.06692,,54.66087581065298,74.03921406070047,3,1-37245,8154-12704,11.3973794699304,0.06921358388105,43.56065186567,1.02913317009,0.0675097,162.048788452148,130.105523392605,"[43.5478203913333, 43.5639473250391, 43.5914819407107, 43.5861080477728, 43.5349970241936, 43.5262440037542, 43.5197666839201, 43.5606520158222, 43.5258074332886, 43.524966732146, 43.5147860488496]","[1.06940378825738, 1.0439554326912, 1.0116426952734, 1.05896837723675, 1.06745980076865, 1.05485890522056, 1.05476663026757, 1.02913933231324, 1.05175794206917, 1.04065950466127, 1.02880957577588]","[0.030128006767357697, 0.07240631710520064, 0.03968428453176603, 0.012969881732534983, 0.026021032329990836, 0.03164264359442939, 0.04225963794806606, 0.028212518667710348, 0.03672224908285285, 0.05233696466479233, 0.042453127795420716, 0.026767258656938516, 0.03729041750591287, 0.039248263007565135, 0.04548418453397912, 0.01517813866206211, 0.038929814992284, 0.039119685119852185, 0.05144150132217928, 0.0476298110284327, 0.07941092531768917, 0.07825362113370374, 0.08368244634284228, 0.03544878807991184, 0.07695696167742913, 0.07256892032721608, 0.07859364869094648, 0.05181159141457865, 0.0600049291851282, 0.06647429003327868, 0.039214557038408406, 0.060730177691801585, 0.0638237831185285, 0.07743630179674474, 0.015342683449332772, 0.01982624125284465, 0.04611547352142832, 0.01819332151147052, 0.028615775893786978, 0.04361563270603232, 0.00647797706850983, 0.042958209052595626, 0.003131543746734831, 0.014256731708364303, 0.028457903912855485, 0.04825317362811049, 0.006748544851163258, 0.015035008959876044, 0.026430577057455395, 0.04154210441506322, 0.03749871787113923, 0.045867152360981246, 0.011130233209966547, 0.025457777406584208, 0.015622647886013032]",27.1070447676899,1.6533,0.7821,0.3109,0.2401,17.3788024502759,0.0518726211945452,-19.9888510525207,0.0518726211950288,15.9469108085867,0.0502350418066307,-21.42074269421,0.05023504180713,15.3408812733756,0.0501389790338977,-22.0267722294211,0.050138979034398,14.9870697254566,0.0504316190712252,-22.38058377734,0.0504316190717226,16.2559800276998,0.0502710209343676,-21.1116734750969,0.0502710209348665,15.6026010129848,0.0501782325641386,-21.7650524898119,0.0501782325646385,15.3408812733756,0.0501389790338977,-22.0267722294211,0.050138979034398,244.148226991261,18.58627970858,0.0,128.246167182347,10.7887680959913
2MASXJ03240253-0556040,C1,LEDA1038843,51.01012005629,-5.924523999990001,Sy2,11045.7972118319,2009MNRAS.399..683J,0.03754931019645598,13.310999870300293,35.63647141394643,26.90698896827567,1,1-51315,9189-9102,10.7946953975408,0.0736235123094172,51.0105013169,-5.93441575339,0.0370497,69.110587486854,40.2437716713892,"[51.0104826137776, 51.003015049293]","[-5.93441830614307, -5.91843848040717]",[0.01763857561940251],20.9862891705915,1028.0,0.5088,0.2259,0.1926,16.2383033310334,0.050561792190654,-19.7917151632391,0.0505617921906809,15.2208592242231,0.0500595929605505,-20.8091592700494,0.0500595929605777,14.7710214404112,0.0500476836820825,-21.2589970538613,0.0500476836821097,14.5519318943132,0.0500865209133373,-21.4780865999593,0.0500865209133645,15.4062463671682,0.0500581039382698,-20.6237721271043,0.050058103938297,14.9803186563573,0.0500726597019974,-21.0496998379152,0.0500726597020246,14.7710214404112,0.0500476836820825,-21.2589970538613,0.0500476836821097,110.514477673605,6.28022576054114,96.3942292485281,45.1716816286355,10.7463840924109
2MASXJ07295223+3953293,C1,WISEAJ072948.02+395355.6,112.45012,39.89879,G,14730.0,ned,0.049135,nan,55.35796872424538,57.22884197836514,2,1-338113,8131-12704,11.13703476216,0.0812135045290596,112.46773638561001,39.89150197081,,25.0400280952454,55.1612914116838,"[112.491473514706, 112.509960111874, 112.483049931411, 112.45028296018, 112.454969038615, 112.421311295568, 112.425681011462, 112.506131186413, 112.450134489526, 112.467720523493, 112.494845103006, 112.454440023687]","[39.849956518219, 39.8907905178171, 39.8562475293256, 39.8586910217349, 39.853388502612, 39.8637686535852, 39.918304908709, 39.8926931062619, 39.8987912945976, 39.8914989068027, 39.9304381876514, 39.9106309317261]","[0.04482376376465083, 0.01051349495986525, 0.04210645240136397, 0.03666545092525008, 0.07150882517383828, 0.09486915181282166, 0.045180341935610116, 0.06398242248290563, 0.0478536794907566, 0.08055226081426849, 0.07108349957257569, 0.043787850672016286, 0.06776237955561208, 0.06650510416184834, 0.09267574536533722, 0.08865668881932331, 0.004275571654893722, 0.060358243168741804, 0.04224552806571045, 0.04243113498798749, 0.058958648359438585, 0.03285795274826742, 0.028226061963536886, 0.06219506785817361, 0.08451219623255286, 0.043139592147899856, 0.05379031769756084, 0.03844021801641746, 0.0751224324404542, 0.06144982731163977, 0.007076442619543471, 0.02941325714023273, 0.0644908629255626, 0.06538475453462664, 0.04010054771693596, 0.03715408371790322, 0.08445969683993655, 0.052106001831794056, 0.03522202721656383, 0.0712174719788991, 0.06451679808685432, 0.04565946106758028, 0.04018710333144882, 0.0867568699065686, 0.05724487354931044, 0.05471103672863898, 0.08961605796733196, 0.04535815134486438, 0.05406277258984491, 0.09925748137512165, 0.057389770337032894, 0.08442863894576888, 0.03128503995705461, 0.04985862322612339, 0.07022028209143263, 0.029765260067594057, 0.056327772574752216, 0.03842922245248079, 0.039396279618377626, 0.054715097426120664, 0.019038054271376826, 0.05477741138203761, 0.012598199543825505, 0.047455351718963895, 0.02328961255080383, 0.044998864675290594]",,0.0703,0.6397,0.6713,1.5656,17.7182139341121,0.0558887327065856,-18.9422295204122,0.0558887327066934,16.1057439398799,0.050251395095696,-20.5546995146444,0.0502513950958159,15.4622248375907,0.0501268694815921,-21.1982186169336,0.0501268694817123,15.0679308681157,0.0501958006985288,-21.5925125864086,0.0501958006986488,16.4245263633158,0.0511365145537108,-20.2359170912085,0.0511365145538287,15.7416856096411,0.0502054714123517,-20.9187578448832,0.0502054714124718,15.4622248375907,0.0501268694815921,-21.1982186169336,0.0501268694817123,489.750478230847,339.770806150574,0.0,0.0,
